anio_enfr,prov_id,prov_nombre,grupo_edad_amp,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2005,2,CABA,20 a 29,Mujer,7193,4517.7,0.63,0.03,0.02,0.62,Muy alta
2005,2,CABA,20 a 29,Varón,6343,3494.72,0.55,0.02,0.01,0.55,Muy alta
2005,2,CABA,30 a 44,Mujer,8244,4595.68,0.56,0.02,0.01,0.55,Muy alta
2005,2,CABA,30 a 44,Varón,9083,3942.18,0.43,0.03,0.01,0.43,Muy alta
2005,2,CABA,45 a 59,Mujer,14629,4652.99,0.32,0.05,0.01,0.31,Muy alta
2005,2,CABA,45 a 59,Varón,26797,7669.55,0.29,0.13,0.03,0.27,Alta
2005,2,CABA,60 a 74,Mujer,40614,11233.01,0.28,0.19,0.05,0.24,Alta
2005,2,CABA,60 a 74,Varón,41244,9502.24,0.23,0.2,0.04,0.21,Alta
2005,2,CABA,75+,Mujer,16494,4735.82,0.29,0.13,0.03,0.27,Alta
2005,2,CABA,75+,Varón,19159,6114.53,0.32,0.24,0.07,0.27,Alta
2005,6,Buenos Aires,20 a 29,Mujer,22301,8275.23,0.37,0.02,0.01,0.37,Muy alta
2005,6,Buenos Aires,20 a 29,Varón,20346,12712.52,0.62,0.02,0.01,0.62,Muy alta
2005,6,Buenos Aires,30 a 44,Mujer,101394,21429.5,0.21,0.06,0.01,0.21,Alta
2005,6,Buenos Aires,30 a 44,Varón,49048,13505.88,0.28,0.04,0.01,0.27,Alta
2005,6,Buenos Aires,45 a 59,Mujer,120718,24656.69,0.2,0.11,0.02,0.19,Moderada
2005,6,Buenos Aires,45 a 59,Varón,110814,26683.72,0.24,0.1,0.02,0.23,Alta
2005,6,Buenos Aires,60 a 74,Mujer,150384,27399.29,0.18,0.19,0.03,0.16,Moderada
2005,6,Buenos Aires,60 a 74,Varón,108933,21801.5,0.2,0.16,0.03,0.18,Moderada
2005,6,Buenos Aires,75+,Mujer,66886,16675.92,0.25,0.18,0.04,0.22,Alta
2005,6,Buenos Aires,75+,Varón,78511,22192.49,0.28,0.3,0.07,0.23,Alta
2005,10,Catamarca,20 a 29,Mujer,835,484.86,0.58,0.04,0.02,0.56,Muy alta
2005,10,Catamarca,20 a 29,Varón,587,277.83,0.47,0.03,0.01,0.47,Muy alta
2005,10,Catamarca,30 a 44,Mujer,2119,516.79,0.24,0.08,0.02,0.23,Alta
2005,10,Catamarca,30 a 44,Varón,1019,333.61,0.33,0.04,0.01,0.32,Muy alta
2005,10,Catamarca,45 a 59,Mujer,2383,547.86,0.23,0.14,0.03,0.22,Alta
2005,10,Catamarca,45 a 59,Varón,2021,594.56,0.29,0.13,0.04,0.28,Alta
2005,10,Catamarca,60 a 74,Mujer,2946,645.14,0.22,0.31,0.06,0.19,Moderada
2005,10,Catamarca,60 a 74,Varón,1133,375.42,0.33,0.15,0.05,0.31,Muy alta
2005,10,Catamarca,75+,Mujer,341,170.22,0.5,0.11,0.05,0.48,Muy alta
2005,10,Catamarca,75+,Varón,241,118.96,0.49,0.11,0.05,0.49,Muy alta
2005,14,Córdoba,20 a 29,Mujer,11863,5457.45,0.46,0.05,0.02,0.45,Muy alta
2005,14,Córdoba,20 a 29,Varón,5391,4237.88,0.79,0.02,0.02,0.78,Muy alta
2005,14,Córdoba,30 a 44,Mujer,18425,5065,0.27,0.06,0.02,0.27,Alta
2005,14,Córdoba,30 a 44,Varón,14519,6797.12,0.47,0.07,0.03,0.44,Muy alta
2005,14,Córdoba,45 a 59,Mujer,27552,9211.61,0.33,0.12,0.04,0.31,Muy alta
2005,14,Córdoba,45 a 59,Varón,23803,6875.68,0.29,0.15,0.04,0.26,Alta
2005,14,Córdoba,60 a 74,Mujer,38093,9065.27,0.24,0.23,0.05,0.2,Moderada
2005,14,Córdoba,60 a 74,Varón,34427,9093.35,0.26,0.22,0.05,0.23,Alta
2005,14,Córdoba,75+,Mujer,10380,2971.59,0.29,0.17,0.04,0.27,Alta
2005,14,Córdoba,75+,Varón,8449,3455.95,0.41,0.18,0.07,0.38,Muy alta
2005,18,Corrientes,20 a 29,Mujer,5472,2009.52,0.37,0.08,0.03,0.35,Muy alta
2005,18,Corrientes,20 a 29,Varón,989,627.42,0.63,0.02,0.01,0.63,Muy alta
2005,18,Corrientes,30 a 44,Mujer,3962,1061.33,0.27,0.05,0.01,0.26,Alta
2005,18,Corrientes,30 a 44,Varón,1624,697.27,0.43,0.02,0.01,0.43,Muy alta
2005,18,Corrientes,45 a 59,Mujer,5058,1418.69,0.28,0.1,0.03,0.27,Alta
2005,18,Corrientes,45 a 59,Varón,7148,1953.21,0.27,0.15,0.04,0.25,Alta
2005,18,Corrientes,60 a 74,Mujer,5969,1390.18,0.23,0.2,0.04,0.21,Alta
2005,18,Corrientes,60 a 74,Varón,4863,1380.51,0.28,0.22,0.06,0.25,Alta
2005,18,Corrientes,75+,Mujer,576,353.03,0.61,0.05,0.03,0.61,Muy alta
2005,18,Corrientes,75+,Varón,1643,699.88,0.43,0.22,0.09,0.4,Muy alta
2005,22,Chaco,20 a 29,Mujer,3264,1186.6,0.36,0.05,0.02,0.35,Muy alta
2005,22,Chaco,20 a 29,Varón,1985,811.22,0.41,0.03,0.01,0.4,Muy alta
2005,22,Chaco,30 a 44,Mujer,7576,1572.48,0.21,0.1,0.02,0.2,Moderada
2005,22,Chaco,30 a 44,Varón,2784,932.53,0.33,0.04,0.01,0.33,Muy alta
2005,22,Chaco,45 a 59,Mujer,6322,1577.73,0.25,0.14,0.03,0.23,Alta
2005,22,Chaco,45 a 59,Varón,4906,1500.85,0.31,0.09,0.03,0.29,Alta
